,gcrq,sjxh,cdh,vehicles,velocity
333,2016/5/22,84,12,0.003047083,0.094188804
334,2016/5/22,84,31,0.003047083,0.094188804
335,2016/5/22,84,32,0.003047083,0.094188804
336,2016/5/22,85,11,0.003047083,0.094188804
337,2016/5/22,85,12,0.003047083,0.094188804
338,2016/5/22,85,31,0.003047083,0.094188804
339,2016/5/22,85,32,0.003047083,0.094188804
340,2016/5/22,86,11,0,0
341,2016/5/22,86,12,0.001752336,0.048569528
342,2016/5/22,86,31,0.003504673,0.058549568
343,2016/5/22,86,32,0.003530702,0.181943628
344,2016/5/22,87,11,0,0
345,2016/5/22,87,12,0.002336449,0.043912176
346,2016/5/22,87,31,0.002451975,0.118589825
347,2016/5/22,87,32,0.000826481,0.260063545
348,2016/5/22,88,11,0,0
349,2016/5/22,88,12,0.000584112,0.042581504
350,2016/5/22,88,31,0.004088785,0.051230872
351,2016/5/22,88,32,0.005151895,0.20297801
352,2016/5/22,89,11,0.000890333,0.071604097
353,2016/5/22,89,12,0.001901086,0.070658915
354,2016/5/22,89,31,0.00083131,0.051944384
355,2016/5/22,89,32,0.000855342,0.073659399
356,2016/5/22,90,11,0.000681384,0.064670592
357,2016/5/22,90,12,0.002281462,0.067762919
358,2016/5/22,90,31,0.001156075,0.044777556
359,2016/5/22,90,32,0.000806088,0.086627403
360,2016/5/22,91,11,0.00081246,0.063718893
361,2016/5/22,91,12,0.001086076,0.072109027
362,2016/5/22,91,31,0.00126218,0.052982241
363,2016/5/22,91,32,0.000788412,0.077552695
364,2016/5/22,92,11,0.000715743,0.062262702
365,2016/5/22,92,12,0.001044405,0.068919174
366,2016/5/22,92,31,0.000723749,0.053507682
367,2016/5/22,92,32,0.000826156,0.080873101
368,2016/5/22,93,11,0.000905907,0.076266764
369,2016/5/22,93,12,0.001269538,0.079461053
370,2016/5/22,93,31,0.001620524,0.044411878
371,2016/5/22,93,32,0.000991936,0.082663436
372,2016/5/22,94,11,0.000928167,0.069094383
373,2016/5/22,94,12,0.001686894,0.075961583
374,2016/5/22,94,31,0.001888995,0.050481222
375,2016/5/22,94,32,0.000928148,0.087209556
376,2016/5/22,95,11,0,0
377,2016/5/22,95,12,0.002432974,0.095758977
378,2016/5/22,95,31,0.002920561,0.059214904
379,2016/5/22,95,32,0.004891493,0.145072849
380,2016/5/22,96,11,0.003047083,0.094188804
381,2016/5/22,96,12,0.003047083,0.094188804
382,2016/5/22,96,31,0.003047083,0.094188804
383,2016/5/22,96,32,0.003047083,0.094188804
384,2016/5/22,97,11,0,0
385,2016/5/22,97,12,0.005257009,0.05322688
386,2016/5/22,97,31,0.004088785,0.05655356
387,2016/5/22,97,32,0.002220987,0.146546569
388,2016/5/22,98,11,0,0
389,2016/5/22,98,12,0.006130697,0.101835932
390,2016/5/22,98,31,0.004088785,0.050565536
391,2016/5/22,98,32,0.004921849,0.215224303
392,2016/5/22,99,11,0,0
393,2016/5/22,99,12,0.002920561,0.051230872
394,2016/5/22,99,31,0.005841121,0.057884232
395,2016/5/22,99,32,0.008177635,0.158901606
396,2016/5/22,100,11,0.003047083,0.094188804
397,2016/5/22,100,12,0.003047083,0.094188804
398,2016/5/22,100,31,0.003047083,0.094188804
399,2016/5/22,100,32,0.003047083,0.094188804
400,2016/5/22,101,11,0.003047083,0.094188804
401,2016/5/22,101,12,0.003047083,0.094188804
402,2016/5/22,101,31,0.003047083,0.094188804
403,2016/5/22,101,32,0.003047083,0.094188804
404,2016/5/22,102,11,0.003047083,0.094188804
405,2016/5/22,102,12,0.003047083,0.094188804
406,2016/5/22,102,31,0.003047083,0.094188804
407,2016/5/22,102,32,0.003047083,0.094188804
408,2016/5/22,103,11,0.003047083,0.094188804
409,2016/5/22,103,12,0.003047083,0.094188804
410,2016/5/22,103,31,0.003047083,0.094188804
411,2016/5/22,103,32,0.003047083,0.094188804
412,2016/5/22,104,11,0.003047083,0.094188804
413,2016/5/22,104,12,0.003047083,0.094188804
414,2016/5/22,104,31,0.003047083,0.094188804
415,2016/5/22,104,32,0.003047083,0.094188804
416,2016/5/22,105,11,0,0
417,2016/5/22,105,12,0.001264749,0.101888632
418,2016/5/22,105,31,0.006425234,0.055222888
419,2016/5/22,105,32,0.003957022,0.277095134
420,2016/5/22,106,11,0.003047083,0.094188804
421,2016/5/22,106,12,0.003047083,0.094188804
422,2016/5/22,106,31,0.003047083,0.094188804
423,2016/5/22,106,32,0.003047083,0.094188804
424,2016/5/22,107,11,0.003047083,0.094188804
425,2016/5/22,107,12,0.003047083,0.094188804
426,2016/5/22,107,31,0.003047083,0.094188804
427,2016/5/22,107,32,0.003047083,0.094188804
428,2016/5/22,108,11,0.003047083,0.094188804
429,2016/5/22,108,12,0.003047083,0.094188804
